"id","label","language","script","scientist","scientist_year"
65000973,"GGVVSS","ind","ogham","Lady Chatterton","1838"
65000974,"S[--]B[--]N[--]GL[-]T[--]DM[--","inc","ogham","Macalister/1945","1945"
65000975,"NETACUNASMAQILOBAC[....]","goide","ogham","Macalister, R.A.S.","1945"
65000976,"ANMVINNAGITL{E}T[--","goide","ogham","Macalister, R.A.S.","1945"
65000977,"LOGAMAQISDANBI","goide","ogham","Macalister, R.A.S.","1945"
65000978,"OSBBAR","name","ogham","Macalister, R.A.S.","1945"
65000979,"[.]NMSILLANNMAQFATTILLOGG","goide","ogham","Fanning, T.","1977"
65000980,"--]CLHQOC[--","ind","ogham","Rynne, E.","1996"
65000981,"QREGASMU[--","goide","ogham","Macalister/1945","1945"
65000982,"MAQIRITTEMAQICOLABOT | [M][.][Q][.][M][.][C][.][[Q][.][R][..]","goide","ogham","Macalister, R.A.S.","1945"
65000983,"COILLABBOTASMAQICORBBI | MAQIMOCOIQERAI","goide","ogham","Macalister, R.A.S.","1945"
65000984,"VGwGOLAM","ind","ogham","Macalister, R.A.S.","1945"
65000985,"CORBAGNI ||| MAQI ||| BIVITI","goide","ogham","Macalister, R.A.S.","1945"
65000986,"CORBAGNMAQIMUCOIC[--","goide","ogham","Barry, E.","1895"
65000988,"ANAVLAMATTIASMUCO ||| I[--] ||| OELURIAVIA{K}ERAS","goide","ogham","Macalister, R.A.S.","1945"
65000989,"MAQIERCIAS | MAQIVALAMNI","goide","ogham","Macalister, R.A.S.","1945"
65000990,"VEDACU[NA] | [..QI]TOBIRAMUCOISOG ||| INI","goide","ogham","Macalister, R.A.S.","1945"
65000991,"ELUNAMU[C--","goide","ogham","Macalister, R.A.S.","1945"
65000992,"--]LENAMU[--","goide","ogham","Gippert, J.","1981"
65000993,"--]M[--","ind","ogham","Macalister, R.A.S.","1945"
65000994,"S[IDA]N[I]M[A]Q[ID] ||| ALO","goide","ogham","Macalister, R.A.S.","1945"
65000995,"S[.]D[.]N[.]M[.]Q[.]D ||| ALA","goide","ogham","Cuppage, J.","1986"
65000996,"LLONNOCCMAQQ[--","goide","ogham","Macalister, R.A.S.","1945"
65000997,"LLONNOCCMAQQ[--","goide","ogham","Cuppage, J.","1986"
65000998,"SONNOCCMAQQ[--","goide","ogham","Cuppage, J.","1986"
65000999,"COMMA[GGA]AGNIM[-- | --]ISAMMNN[--","goide","ogham","Macalister, R.A.S.","1949"
65001000,"COMMAGGAGNIM[!U][-- | --]ISA[MM^G]NN","goide","ogham","McManus, D.","1991"
65001001,"COMMAGGAGNIM[!U][-- | --]ISA[MM^G]NN","goide","ogham","McManus, D.","1991"
65001002,"L[I]SS[E^I][GV]O[G]","ind","ogham","McManus, D.","1991"
65001003,"OLSSI[G]VUG","ind","ogham","Moore, F.","1991"
65001005,"CURCIMAQIMUCOIV[!O][--","goide","ogham","Macalister, R.A.S.","1945"
65001006,"ERCAVICCASMAQICO[--","goide","ogham","Macalister, R.A.S.","1945"
65001007,"ERCAVICCASMAQICO[--","goide","ogham","McManus, D.","1991"
65001008,"ALATTOSMAQIBR[--","goide","ogham","Macalister/1945","1945"
65001009,"ERCAGNIMA[QI]E ||| [R]CIAS","goide","ogham","Macalister, R.A.S.","1945"
65001010,"ERCAGNIMA[Q^C][I--","goide","ogham","McManus","1991"
65001011,"MAQICUNALIG[--] ||| MAQICOILLI ||| MUCOICOSCIS/N","goide","ogham","McManus/1991","1991"
65001012,"[AMN]TENASMACIV[--","goide","ogham","Macalister, R.A.S.","1945"
65001013,"MOCU[RR]UTI | MAQIVLISACES{*}CMIR","goide","ogham","Macalister, R.A.S.","1945"
65001014,"MOCU[RR-- | --I]VLISAC[E]S[U]CMIR","goide","ogham","O'Sullivan & Sheehan","1996"
65001015,"VEDDELLEMETTOMU ||| CI ||| LOGIDDEAS ||| AVVIMUNICCONA","goide","ogham","McManus/1991","1991"
65001016,"CI[--]LAMAQ[.]I[--]BAGNI","goide","ogham","Macalister, R.A.S.","1945"
65001017,"AMNVURUDDRANNMAQ ||| [I]DO ||| LIG ENN","goide","ogham","Macalister, R.A.S.","1945"
65001018,"AMNT{X}GANNMACDEGLA ||| N ||| N","goide","ogham","Macalister, R.A.S.","1945"
65001019,"MAQILAS{P}OG | B TTMACDE","mixed","ogham","Macalister, R.A.S.","1945"
65001020,"MUCOIMUCC[I]","goide","ogham","Macalister/1945","1945"
65001021,"MUCOIMUCC[I]","goide","ogham","Gippert/Web","1997"
