"id","label","wkt","wikidata_id","townland_label","barony_label","county_label","province_label","country_label"
40000126,"Glebe / Shanacloon (Ogham Site)","POINT(-9.115 51.849444)","Q85394021","Glebe","Muskerry West","Cork","Munster","Ireland"
40000127,"Glenaglogh North (Ogham Site)","POINT(-8.866111 51.991111)","Q85394126","Glenaglogh North","Muskerry East","Cork","Munster","Ireland"
40000128,"Glenawillin (Ogham Site)","POINT(-8.175556 51.969444)","Q85393995","Glenawillin","Barrymore","Cork","Munster","Ireland"
40000129,"Glin North/South (Ogham Site)",NULL,"Q106628071",NULL,NULL,"Kerry","Munster","Ireland"
40000130,"Gortatlea (Ogham Site)","POINT(-9.581944 52.226667)","Q85396933","Gortatlea","Trughanacmy","Kerry","Munster","Ireland"
40000131,"Gortmaccaree (Ogham Site)","POINT(-9.551667 51.8475)","Q85395607","Derrygarriv","Glanarought","Kerry","Munster","Ireland"
40000132,"Gortnagullanagh (Ogham Site)","POINT(-10.126667 52.140833)","Q85395524","Gortnagullanagh","Corkaguiny","Kerry","Munster","Ireland"
40000133,"Gour (Ogham Site)","POINT(-9.981667 51.628889)","Q85394098","Gour","Bear","Cork","Munster","Ireland"
40000134,"Gowran (Ogham Site)","POINT(-7.066111 52.6325)","Q85391704","Gowran","Gowran","Kilkenny","Leinster","Ireland"
40000135,"Graiguenamanagh (Ogham Site)","POINT(-6.958056 52.5425)","Q85391660","Graiguenamanagh","Gowran","Kilkenny","Leinster","Ireland"
40000136,"Greenhill (Ogham Site)","POINT(-8.601944 52.081111)","Q72006007","Greenhill","Barretts","Cork","Munster","Ireland"
40000137,"Hacketstown (Ogham Site)","POINT(-6.560318 52.862438)","Q106628037","Eaglehill","Rathvilly","Carlow","Leinster","Ireland"
40000138,"Houseland / Hook POINT (Ogham Site)","POINT(-6.887778 52.161389)","Q85391680","Houseland","Shelburne","Wexford","Leinster","Ireland"
40000139,"Inchagoill (Ogham Site)","POINT(-9.316944 53.485556)","Q85390377","Inchagoill","Ross","Galway","Connacht","Ireland"
40000140,"Inchinanagh (Ogham Site)","POINT(-9.389167 51.839444)","Q85395624","Inchinanagh","Glanarought","Kerry","Munster","Ireland"
40000141,"Inishvickillane (Ogham Site)","POINT(-10.607778 52.044444)","Q85395526","Inishvickillane","Corkaguiny","Kerry","Munster","Ireland"
40000142,"Island (Ogham Site)","POINT(-8.805 53.781667)","Q85390382","Island","Costello","Mayo","Connacht","Ireland"
40000143,"Kealvaugh More (Ogham Site)","POINT(-9.228056 51.828333)","Q85394084","Kealvaugh More","Muskerry West","Cork","Munster","Ireland"
40000144,"Keelwest (Ogham Site)","POINT(-10.180949 53.983608)","Q106628069","Keel West","Burrishoole","Mayo","Connacht","Ireland"
40000145,"Keenrath (Ogham Site)","POINT(-9.185833 51.759444)","Q85393928","Keenrath","Carbery East (West Division)","Cork","Munster","Ireland"
40000146,"Kilbeg (Ogham Site)","POINT(-7.544722 52.110278)","Q85396852","Kilbeg","Decies without Drum","Waterford","Munster","Ireland"
40000147,"Kilbonane (Ogham Site)","POINT(-9.673611 52.086111)","Q85396894","Kilbonane","Magunihy","Kerry","Munster","Ireland"
40000148,"Kilcaskan (Ogham Site)","POINT(-9.711944 51.7275)","Q85394111","Kilcaskan","Bear","Cork","Munster","Ireland"
40000149,"Kilcoolaght East / Kilhullicaha (Ogham Site)","POINT(-9.747222 52.071944)","Q85395537","Kilcoolaght East","Dunkerron North","Kerry","Munster","Ireland"
40000150,"Kilcullen South (Ogham Site)","POINT(-8.81 51.9875)","Q85394079","Kilcullen South","Muskerry East","Cork","Munster","Ireland"
40000151,"Kilcumney (Ogham Site)","POINT(-6.956452 52.631753)","Q85391730","Kilcumney","Idrone East","Carlow","Leinster","Ireland"
40000152,"Kilfountan (Ogham Site)","POINT(-10.300556 52.153333)","Q85395599","Kilfountan","Corkaguiny","Kerry","Munster","Ireland"
